patient_id,owner_id,owner_name,pet_type,breed,patient_name,gender,patient_age,date_registration,owner_phone
dog_191,3611,Stephanie Young,Dog,Bulldog,COOPER,Male,5,2024-08-01,+44 7624 457705
dog_192,2481,Kathryn Mcgee,Dog,No Breed,LILLY,Female,12,2024-03-26,+44 7304 509191
cat_193,8410,Mark Murphy,Cat,Sphynx,DIESEL,Male,1,2024-02-25,+44 7294 397240
cat_194,7086,Robyn Bryant,Cat,Mix,king,Male,1,2024-04-26,+44 7770 45134!3
hamster_195,6658,Sean Hoover,Hamster,Mix,Lucky,Male,2,2024-07-14,+44 7452 244665
cat_196,9527,Alison Rodriguez,Cat,Bengal,Rocky,Male,18,2024-09-30,+44 7315 489-375
dog_197,5174,Sarah Anderson,Dog,German Shepherd,Spike,Male,4,2024-07-20,+44 7110 218551
dog_198,9575,Michael Gallegos,Dog,Labrador Retriever,oscar,Male,10,2024-01-25,+44 7036 523832
cat_199,9527,Alison Rodriguez,Cat,Persian,zara,Female,16,2024-11-17,+44 7315 489375
dog_200,6879,George Howard,Dog,Labrador Retriever,Maya,Female,6,2024-03-20,+44 7105 )304636
cat_201,8593,Gregory Gilmore,Cat,Persian,Teddy,Male,9,2024-11-11,+44 7535 585944
cat_202,4048,Abigail Ayala,Cat,Siamese,gizmo,Male,15,2024-11-24,+44 7525 340679
dog_203,1691,Stephanie Jenkins,Dog,Beagle,BAXTER,Male,12,2024-06-02,+44 7578 199144
cat_204,4015,Allen Foster,Cat,Sphynx,TIGER,Male,5,2024-10-25,+44 7108 793349
hamster_205,5707,Jessica Estrada,Hamster,Syrian Hamster,Jasmine,Female,2,2024-12-10,+44 7169 719122
cat_206,2481,Kathryn Mcgee,Cat,Mix,TEDDY,Male,3,2024-05-08,+44 7304 509191
cat_207,9240,Kimberly Pena,Cat,Sphynx,CHIP,Male,18,2024-07-18,+44 7892 749484
dog_208,9405,Dr. Brandon Galloway,Dog,Boxer,Ruby,Female,1,2024-12-21,+44 7700 421511
hamster_209,4466,Noah Michael,Hamster,Syrian Hamster,OREO,Male,2,2024-01-13,+44 7785 549596
hamster_210,8795,Charles Hines,Hamster,No Breed,flash,Male,3,2024-10-02,+44 7445 245621
hamster_211,2862,Dylan Duran,Hamster,Syrian Hamster,Tinkerbell,Female,3,2024-11-15,+44 7371 677307
dog_212,7057,Paul Robinson,Dog,Labrador Retriever,ZOEY,Female,9,2024-11-11,+44 7611 299031
cat_213,1791,Michelle Gonzalez,Cat,Unknown,rusty,Male,1,2024-03-18,+44 7219 939713
hamster_214,5568,Rebecca Mooney,Hamster,Syrian Hamster,Benny,Male,2,2024-09-18,+44 7684 716907
hamster_215,7142,Matthew Mooney,Hamster,Mix,Thor,Male,3,2024-09-23,+44 7877 2@21442
cat_216,4267,Brandy Lee,Cat,Maine Coon,OSCAR,Male,10,2024-01-26,+44 7989 357666
hamster_217,8982,Jason Smith,Hamster,Roborovski Hamster,lucky,Male,2,2024-08-16,+44 7412 457494
dog_218,7277,Barbara Gill,Dog,Beagle,Oscar,Male,14,2024-04-23,+44 7868 810424
hamster_219,6879,George Howard,Hamster,Mix,Ruby,Female,1,2024-03-06,+44 7105 304636
cat_220,4381,Sean Gonzalez,Cat,Maine Coon,Rosie,Female,11,2024-05-18,+44 7982 269572
hamster_221,1044,John Riley,Hamster,No Breed,NALA,Female,1,2024-11-28,+44 7455 829076
cat_222,7712,Carol Peterson,Cat,Bengal,DIESEL,Male,6,2024-08-06,+-44 7826 876561
cat_223,8764,Crystal Jordan,Cat,Persian,Poppy,Female,17,2024-02-05,+44 7945 406101
cat_224,2973,Laura Frey,Cat,Persian,Violet,Female,7,2024-07-07,+44 7186 666641
hamster_225,6031,Hannah Thompson,Hamster,Syrian Hamster,GIZMO,Male,2,2024-10-28,+44 7241 595961
dog_226,9637,Christie Campbell,Dog,Poodle,rosie,Female,10,2024-06-02,+44 7992 105554
dog_227,5843,Christopher Gardner,Dog,Mix,luna,Female,12,2024-09-21,+44 7308 339046
dog_228,4755,Sherri Huffman,Dog,Bulldog,Penny,Female,9,2024-09-24,+44 7418 434518
hamster_229,7001,Deborah Young,Hamster,Syrian Hamster,Pudding,Female,3,2024-07-10,+44 7021 @207998
hamster_230,5707,Jessica Estrada,Hamster,Syrian Hamster,BENNY,Male,3,2024-08-04,+44 7169 719122
cat_231,4752,Molly Thompson,Cat,Bengal,Tilly,Female,2,2024-07-16,+44 7642 445286
cat_232,5707,Jessica Estrada,Cat,Maine Coon,ROCKY,Male,12,2024-11-02,+-44 7169 719122
dog_233,4267,Brandy Lee,Dog,No Breed,RILEY,Male,6,2024-09-10,+44 7989 357666
cat_234,3203,Carrie Cole,Cat,Ragdoll,DAISY,Female,12,2024-09-07,+44 7686 703051
hamster_235,6834,Melanie Chambers,Hamster,Roborovski Hamster,bear,Male,2,2024-05-16,+44 7793 733548
dog_236,2158,Allen Shields,Dog,Beagle,luna,Female,3,2024-02-13,+44 7917 551837
cat_237,3007,Anthony Franklin,Cat,Maine Coon,Taz,Male,5,2024-01-05,+44 7106 645791
hamster_238,5259,Mary Russell,Hamster,Mix,TINKERBELL,Female,3,2024-11-09,+44 7539 490389
cat_239,4163,David Garner,Cat,Persian,jasper,Male,12,2024-05-01,+44 7442 948154
dog_240,7852,Amber Frazier,Dog,Unknown,COCO,Female,5,2024-12-19,+44 7416 524956
hamster_241,9075,Annette Peck,Hamster,Mix,THOR,Male,2,2024-11-20,+44 7711 336211
dog_242,2684,Michelle Rogers,Dog,Mix,ROCKY,Male,4,2024-10-01,+44 7820 255031
hamster_243,7224,Derek Brown,Hamster,Roborovski Hamster,bear,Male,3,2024-09-21,+44 7814 560785
cat_244,8657,Jennifer Morales,Cat,British Shorthair,ELSA,Female,14,2024-07-19,+44 7439 481900
hamster_245,9968,Jeffery Murphy,Hamster,Mix,CORA,Female,3,2024-05-01,+44 7451! 709067
cat_246,4700,Kevin Alvarez,Cat,Maine Coon,tom,Male,2,2024-07-21,+44 7789 373587
dog_247,3462,Sarah Thompson,Dog,Mix,Buddy,Male,10,2024-02-29,+44 7058 505136
cat_248,8516,Dr. Michael Cooper,Cat,Ragdoll,Alfie,Male,19,2024-11-06,+44 7263 422504
dog_249,5953,Jodi Wright,Dog,Beagle,EMMA,Female,5,2024-09-19,+44 7610 580941
cat_250,4544,Douglas Rogers,Cat,Mix,milo,Male,14,2024-01-19,+44 7065 703540
hamster_251,4466,Noah Michael,Hamster,No Breed,PEPPER,Male,3,2024-11-20,+44 7785 549596
hamster_252,1649,Michael Brown,Hamster,No Breed,peaches,Female,2,2024-08-08,+44 7683 649201
cat_253,5373,Christopher Downs,Cat,Persian,Molly,Female,17,2024-04-01,+44 7943 326508
cat_254,5174,Sarah Anderson,Cat,Bengal,toby,Male,12,2024-12-31,+44 7110 218551
cat_255,3685,Olivia Moore,Cat,British Shorthair,KING,Male,20,2024-02-08,+44 7659 860172
hamster_256,9246,Christopher Garcia,Hamster,Syrian Hamster,Scooter,Male,3,2024-02-08,+44 7026 411223
hamster_257,4466,Noah Michael,Hamster,Mix,BUTTERCUP,Female,3,2024-08-08,+44 7785 549596
hamster_258,8909,Justin Norman,Hamster,Roborovski Hamster,Bubbles,Female,1,2024-01-15,+44 7251 754273
cat_259,7183,Michael Baker,Cat,British Shorthair,TOM,Male,7,2024-04-04,+44 7614 457974
hamster_260,2210,Jill Mccall,Hamster,No Breed,ZIGGY,Male,3,2024-10-29,+44 7657 792825
hamster_261,8593,Gregory Gilmore,Hamster,No Breed,ginger,Female,2,2024-04-05,+44 7535 585944
dog_262,9240,Kimberly Pena,Dog,Bulldog,PIPER,Female,13,2024-09-04,+44 7892 749484
dog_263,2210,Jill Mccall,Dog,Mix,ace,Male,6,2024-08-31,+44 7657 792825
